rank	title	link	year	genre	description
29	Everything Everywhere All at Once	https://www.imdb.com/title/tt6710474/?ref_=adv_li_tt	2022	Action, Adventure, Comedy	A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
30	Titanic	https://www.imdb.com/title/tt0120338/?ref_=adv_li_tt	1997	Drama, Romance	A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.
31	Gladiator	https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt	2000	Action, Adventure, Drama	A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
32	Coraline	https://www.imdb.com/title/tt0327597/?ref_=adv_li_tt	2009	Animation, Drama, Family	An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.
33	Inception	https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt	2010	Action, Adventure, Sci-Fi	A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.
34	The Lord of the Rings: The Fellowship of the Ring	https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt	2001	Action, Adventure, Drama	A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
35	The Departed	https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt	2006	Crime, Drama, Thriller	An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
36	Once Upon a Time in Hollywood	https://www.imdb.com/title/tt7131622/?ref_=adv_li_tt	2019	Comedy, Drama	A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
37	Blade Runner 2049	https://www.imdb.com/title/tt1856101/?ref_=adv_li_tt	2017	Action, Drama, Mystery	Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.
38	Alien	https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt	1979	Horror, Sci-Fi	The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
