rank	title	link	year	genre	description
254	Amadeus	https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt	1984	Biography, Drama, Music	The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.
255	Stardust	https://www.imdb.com/title/tt0486655/?ref_=adv_li_tt	2007	Adventure, Family, Fantasy	In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.
256	Hell or High Water	https://www.imdb.com/title/tt2582782/?ref_=adv_li_tt	II 2016	Crime, Drama, Thriller	Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.
257	Star Trek	https://www.imdb.com/title/tt0796366/?ref_=adv_li_tt	2009	Action, Adventure, Sci-Fi	The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
258	Lost in Translation	https://www.imdb.com/title/tt0335266/?ref_=adv_li_tt	2003	Comedy, Drama	A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
259	Training Day	https://www.imdb.com/title/tt0139654/?ref_=adv_li_tt	2001	Action, Crime, Drama	A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
260	Dunkirk	https://www.imdb.com/title/tt5013056/?ref_=adv_li_tt	2017	Action, Drama, History	Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.
261	Kick-Ass	https://www.imdb.com/title/tt1250777/?ref_=adv_li_tt	2010	Action, Comedy, Crime	Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.
262	Star Wars: Episode V - The Empire Strikes Back	https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt	1980	Action, Adventure, Fantasy	After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.
263	RRR	https://www.imdb.com/title/tt8178634/?ref_=adv_li_tt	2022	Action, Drama	A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
264	Zack Snyder's Justice League	https://www.imdb.com/title/tt12361974/?ref_=adv_li_tt	2021	Action, Adventure, Fantasy	Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.
265	Dirty Harry	https://www.imdb.com/title/tt0066999/?ref_=adv_li_tt	1971	Action, Crime, Thriller	When a man calling himself "the Scorpio Killer" menaces San Francisco, tough-as-nails Police Inspector "Dirty" Harry Callahan is assigned to track down the crazed psychopath.
266	Thor: Ragnarok	https://www.imdb.com/title/tt3501632/?ref_=adv_li_tt	2017	Action, Adventure, Comedy	Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.
267	Shrek	https://www.imdb.com/title/tt0126029/?ref_=adv_li_tt	2001	Animation, Adventure, Comedy	A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.
268	Star Wars: Episode VI - Return of the Jedi	https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt	1983	Action, Adventure, Fantasy	After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.
269	Memories of Murder	https://www.imdb.com/title/tt0353969/?ref_=adv_li_tt	2003	Crime, Drama, Mystery	In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.
270	Minority Report	https://www.imdb.com/title/tt0181689/?ref_=adv_li_tt	2002	Action, Crime, Mystery	In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.
271	Children of Men	https://www.imdb.com/title/tt0206634/?ref_=adv_li_tt	2006	Action, Drama, Sci-Fi	In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.
272	Finding Nemo	https://www.imdb.com/title/tt0266543/?ref_=adv_li_tt	2003	Animation, Adventure, Comedy	After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.
273	Guardians of the Galaxy Vol. 2	https://www.imdb.com/title/tt3896198/?ref_=adv_li_tt	2017	Action, Adventure, Comedy	The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.
274	After Hours	https://www.imdb.com/title/tt0088680/?ref_=adv_li_tt	I 1985	Comedy, Crime, Drama	An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.
275	A Bronx Tale	https://www.imdb.com/title/tt0106489/?ref_=adv_li_tt	1993	Crime, Drama	Robert De Niro and Chazz Palminteri give captivating performances in this intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.
276	CODA	https://www.imdb.com/title/tt10366460/?ref_=adv_li_tt	2021	Comedy, Drama, Music	As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.
277	Bonnie and Clyde	https://www.imdb.com/title/tt0061418/?ref_=adv_li_tt	1967	Action, Biography, Crime	Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.
278	Atonement	https://www.imdb.com/title/tt0783233/?ref_=adv_li_tt	2007	Drama, Mystery, Romance	Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
279	Logan	https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt	2017	Action, Drama, Sci-Fi	In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.
280	Lock, Stock and Two Smoking Barrels	https://www.imdb.com/title/tt0120735/?ref_=adv_li_tt	1998	Action, Comedy, Crime	Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.
281	3 Idiots	https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt	2009	Comedy, Drama	Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them "idiots".
282	When Harry Met Sally...	https://www.imdb.com/title/tt0098635/?ref_=adv_li_tt	1989	Comedy, Drama, Romance	Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.
283	Nightcrawler	https://www.imdb.com/title/tt2872718/?ref_=adv_li_tt	2014	Crime, Drama, Thriller	When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.
284	Raging Bull	https://www.imdb.com/title/tt0081398/?ref_=adv_li_tt	1980	Biography, Drama, Sport	The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.
285	Nosferatu	https://www.imdb.com/title/tt0013442/?ref_=adv_li_tt	1922	Fantasy, Horror	Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
286	Gone with the Wind	https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt	1939	Drama, Romance, War	A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
287	Mary Poppins	https://www.imdb.com/title/tt0058331/?ref_=adv_li_tt	1964	Comedy, Family, Fantasy	In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.
288	Freaks	https://www.imdb.com/title/tt0022913/?ref_=adv_li_tt	1932	Drama, Horror	A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.
289	Amélie	https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt	2001	Comedy, Romance	Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.
290	Your Name.	https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt	2016	Animation, Drama, Fantasy	Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.
291	X-Men: First Class	https://www.imdb.com/title/tt1270798/?ref_=adv_li_tt	2011	Action, Sci-Fi	In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.
292	The Butterfly Effect	https://www.imdb.com/title/tt0289879/?ref_=adv_li_tt	2004	Drama, Sci-Fi, Thriller	Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.
293	Hot Fuzz	https://www.imdb.com/title/tt0425112/?ref_=adv_li_tt	2007	Action, Comedy, Mystery	A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.
294	The Last of the Mohicans	https://www.imdb.com/title/tt0104691/?ref_=adv_li_tt	1992	Action, Adventure, Drama	Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
295	Silver Linings Playbook	https://www.imdb.com/title/tt1045658/?ref_=adv_li_tt	2012	Comedy, Drama, Romance	After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.
296	Warrior	https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt	2011	Action, Drama, Sport	The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.
297	The Game	https://www.imdb.com/title/tt0119174/?ref_=adv_li_tt	1997	Drama, Mystery, Thriller	After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.
298	The Sound of Music	https://www.imdb.com/title/tt0059742/?ref_=adv_li_tt	1965	Biography, Drama, Family	A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
299	Lawrence of Arabia	https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt	1962	Adventure, Biography, Drama	The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.
300	Wonder	https://www.imdb.com/title/tt2543472/?ref_=adv_li_tt	I 2017	Drama, Family	Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.
301	The Worst Person in the World	https://www.imdb.com/title/tt10370710/?ref_=adv_li_tt	2021	Comedy, Drama, Romance	The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.
302	Tangled	https://www.imdb.com/title/tt0398286/?ref_=adv_li_tt	2010	Animation, Adventure, Comedy	The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.
303	The Perks of Being a Wallflower	https://www.imdb.com/title/tt1659337/?ref_=adv_li_tt	2012	Drama	Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.
304	Unforgiven	https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt	1992	Drama, Western	Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The "Schofield Kid."
305	It's a Wonderful Life	https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt	1946	Drama, Family, Fantasy	An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
306	L.A. Confidential	https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt	1997	Crime, Drama, Mystery	As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.
307	District 9	https://www.imdb.com/title/tt1136608/?ref_=adv_li_tt	2009	Action, Sci-Fi, Thriller	Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
308	And Your Mother Too	https://www.imdb.com/title/tt0245574/?ref_=adv_li_tt	2001	Drama	In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.
309	Chinatown	https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt	1974	Drama, Mystery, Thriller	A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.
310	Aladdin	https://www.imdb.com/title/tt0103639/?ref_=adv_li_tt	1992	Animation, Adventure, Comedy	A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
311	Indiana Jones and the Last Crusade	https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt	1989	Action, Adventure	In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.
312	Moneyball	https://www.imdb.com/title/tt1210166/?ref_=adv_li_tt	2011	Biography, Drama, Sport	Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
313	First Blood	https://www.imdb.com/title/tt0083944/?ref_=adv_li_tt	1982	Action, Adventure, Thriller	A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
314	The Count of Monte Cristo	https://www.imdb.com/title/tt0245844/?ref_=adv_li_tt	2002	Action, Adventure, Drama	A young man, falsely imprisoned by his jealous "friend", escapes and uses a hidden treasure to exact his revenge.
315	The Man from Earth	https://www.imdb.com/title/tt0756683/?ref_=adv_li_tt	2007	Drama, Fantasy, Mystery	An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
316	WALL·E	https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt	2008	Animation, Adventure, Family	In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
317	Little Miss Sunshine	https://www.imdb.com/title/tt0449059/?ref_=adv_li_tt	2006	Comedy, Drama	A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
318	Downfall	https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt	2004	Biography, Drama, History	Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.
319	Before Sunrise	https://www.imdb.com/title/tt0112471/?ref_=adv_li_tt	1995	Drama, Romance	A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.
320	Midnight in Paris	https://www.imdb.com/title/tt1605783/?ref_=adv_li_tt	2011	Comedy, Fantasy, Romance	While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.
321	The Untouchables	https://www.imdb.com/title/tt0094226/?ref_=adv_li_tt	1987	Crime, Drama, Thriller	During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.
322	A Star Is Born	https://www.imdb.com/title/tt1517451/?ref_=adv_li_tt	2018	Drama, Music, Romance	A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
323	Taken	https://www.imdb.com/title/tt0936501/?ref_=adv_li_tt	I 2008	Action, Crime, Thriller	A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.
324	Once Upon a Time in the West	https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt	1968	Western	A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
325	In Bruges	https://www.imdb.com/title/tt0780536/?ref_=adv_li_tt	2008	Comedy, Crime, Drama	Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.
326	Mystic River	https://www.imdb.com/title/tt0327056/?ref_=adv_li_tt	2003	Crime, Drama, Mystery	The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
327	Platoon	https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt	1986	Drama, War	Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.
328	Black Book	https://www.imdb.com/title/tt0389557/?ref_=adv_li_tt	2006	Drama, Thriller, War	In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.
329	The Pursuit of Happyness	https://www.imdb.com/title/tt0454921/?ref_=adv_li_tt	2006	Biography, Drama	A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
330	The Fugitive	https://www.imdb.com/title/tt0106977/?ref_=adv_li_tt	1993	Action, Crime, Drama	Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.
331	Brokeback Mountain	https://www.imdb.com/title/tt0388795/?ref_=adv_li_tt	2005	Drama, Romance	Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
332	12 Years a Slave	https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt	2013	Biography, Drama, History	In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.
333	Cinderella Man	https://www.imdb.com/title/tt0352248/?ref_=adv_li_tt	2005	Biography, Drama, Romance	The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.
334	How to Train Your Dragon	https://www.imdb.com/title/tt0892769/?ref_=adv_li_tt	2010	Animation, Action, Adventure	A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.
335	Blue Velvet	https://www.imdb.com/title/tt0090756/?ref_=adv_li_tt	1986	Crime, Drama, Mystery	The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.
336	12 Monkeys	https://www.imdb.com/title/tt0114746/?ref_=adv_li_tt	1995	Mystery, Sci-Fi, Thriller	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
337	The Father	https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt	I 2020	Drama, Mystery	A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.
338	Frankenstein	https://www.imdb.com/title/tt0021884/?ref_=adv_li_tt	1931	Drama, Horror, Sci-Fi	Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.
339	Dawn of the Dead	https://www.imdb.com/title/tt0077402/?ref_=adv_li_tt	1978	Horror, Thriller	During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall.
340	North by Northwest	https://www.imdb.com/title/tt0053125/?ref_=adv_li_tt	1959	Action, Adventure, Mystery	A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.
341	I Saw the Devil	https://www.imdb.com/title/tt1588170/?ref_=adv_li_tt	2010	Action, Crime, Thriller	A secret agent exacts revenge on a serial killer through a series of captures and releases.
342	Grave of the Fireflies	https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt	1988	Animation, Drama, War	A young boy and his little sister struggle to survive in Japan during World War II.
343	Spotlight	https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt	I 2015	Biography, Crime, Drama	The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.
344	Princess Mononoke	https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt	1997	Animation, Action, Adventure	On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.
345	The Bourne Identity	https://www.imdb.com/title/tt0258463/?ref_=adv_li_tt	2002	Action, Mystery, Thriller	A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.
346	Manchester by the Sea	https://www.imdb.com/title/tt4034228/?ref_=adv_li_tt	2016	Drama	A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
347	Beauty and the Beast	https://www.imdb.com/title/tt0101414/?ref_=adv_li_tt	1991	Animation, Family, Fantasy	A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
348	Monty Python and the Holy Grail	https://www.imdb.com/title/tt0071853/?ref_=adv_li_tt	1975	Adventure, Comedy, Fantasy	King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.
349	Blood Diamond	https://www.imdb.com/title/tt0450259/?ref_=adv_li_tt	2006	Adventure, Drama, Thriller	A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.
350	Rush	https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt	I 2013	Action, Biography, Drama	The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
351	The Lives of Others	https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt	2006	Drama, Mystery, Thriller	In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.
352	X-Men: Days of Future Past	https://www.imdb.com/title/tt1877832/?ref_=adv_li_tt	2014	Action, Adventure, Sci-Fi	The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
353	Let the Right One In	https://www.imdb.com/title/tt1139797/?ref_=adv_li_tt	2008	Drama, Fantasy, Horror	Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.
354	Scent of a Woman	https://www.imdb.com/title/tt0105323/?ref_=adv_li_tt	1992	Drama	A prep school student needing money agrees to "babysit" a blind man, but the job is not at all what he anticipated.
355	Rear Window	https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt	1954	Mystery, Thriller	A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.
356	Groundhog Day	https://www.imdb.com/title/tt0107048/?ref_=adv_li_tt	1993	Comedy, Drama, Fantasy	A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.
357	Sound of Metal	https://www.imdb.com/title/tt5363618/?ref_=adv_li_tt	2019	Drama, Music	A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.
358	The Hobbit: The Desolation of Smaug	https://www.imdb.com/title/tt1170358/?ref_=adv_li_tt	2013	Adventure, Drama, Fantasy	The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.
359	Cast Away	https://www.imdb.com/title/tt0162222/?ref_=adv_li_tt	2000	Adventure, Drama, Romance	A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
360	Magnolia	https://www.imdb.com/title/tt0175880/?ref_=adv_li_tt	1999	Drama	An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.
361	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt	1964	Comedy, War	An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.
362	The King of Comedy	https://www.imdb.com/title/tt0085794/?ref_=adv_li_tt	1982	Comedy, Crime, Drama	Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.
363	Argo	https://www.imdb.com/title/tt1024648/?ref_=adv_li_tt	2012	Biography, Drama, Thriller	Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.
364	Deliverance	https://www.imdb.com/title/tt0068473/?ref_=adv_li_tt	1972	Adventure, Drama, Thriller	Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.
365	Mulan	https://www.imdb.com/title/tt0120762/?ref_=adv_li_tt	1998	Animation, Adventure, Comedy	To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.
366	Another Round	https://www.imdb.com/title/tt10288566/?ref_=adv_li_tt	2020	Drama	Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
367	Captain America: Civil War	https://www.imdb.com/title/tt3498820/?ref_=adv_li_tt	2016	Action, Sci-Fi	Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
368	Birdman or (The Unexpected Virtue of Ignorance)	https://www.imdb.com/title/tt2562232/?ref_=adv_li_tt	2014	Comedy, Drama	A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.
369	Soul	https://www.imdb.com/title/tt2948372/?ref_=adv_li_tt	2020	Animation, Adventure, Comedy	After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.
370	Back to the Future Part II	https://www.imdb.com/title/tt0096874/?ref_=adv_li_tt	1989	Adventure, Comedy, Sci-Fi	After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.
371	The Last Samurai	https://www.imdb.com/title/tt0325710/?ref_=adv_li_tt	2003	Action, Drama	An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
372	Toy Story 3	https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt	2010	Animation, Adventure, Comedy	The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
373	The Blues Brothers	https://www.imdb.com/title/tt0080455/?ref_=adv_li_tt	1980	Action, Adventure, Comedy	Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.
374	Big Fish	https://www.imdb.com/title/tt0319061/?ref_=adv_li_tt	2003	Adventure, Drama, Fantasy	A frustrated son tries to determine the fact from fiction in his dying father's life.
375	The French Connection	https://www.imdb.com/title/tt0067116/?ref_=adv_li_tt	1971	Action, Crime, Drama	A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.
376	Perfect Blue	https://www.imdb.com/title/tt0156887/?ref_=adv_li_tt	1997	Animation, Crime, Drama	A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.
377	Rain Man	https://www.imdb.com/title/tt0095953/?ref_=adv_li_tt	1988	Drama	After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.
378	Vertigo	https://www.imdb.com/title/tt0052357/?ref_=adv_li_tt	1958	Mystery, Romance, Thriller	A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.
379	The Boy in the Striped Pajamas	https://www.imdb.com/title/tt0914798/?ref_=adv_li_tt	2008	Drama, War	Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.
